State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Description,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,25th Percentile,75th Percentile,Notes,Source
New York,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2015,Medicaid & CHIP,Administrative,69.5,33,45.7,32.7,67,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Florida,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2015,Medicaid & CHIP,Administrative,53,34,71.8,58.7,78.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Tennessee,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2015,Medicaid only,Administrative,23.6,33,25,22.7,35.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Tennessee,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3),2015,Medicaid only,Hybrid,72.1,39,67.1,63.4,73.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Florida,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2015,Medicaid & CHIP,Administrative,91.8,45,95.2,93.2,97,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Kentucky,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2015,Medicaid only,Administrative,44.7,51,47.4,40.1,50,,"Mathematica analysis of FFY 2015 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b."
Tennessee,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2015,CHIP only,Administrative,28.3,33,24.3,22.1,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Indiana,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Hybrid,65.1,46,45.5,37.8,56,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Alabama,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2015,Medicaid only,Administrative,10.3,25,8.9,8.1,10.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Rhode Island,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2015,Medicaid & CHIP,Administrative,74.6,34,71.8,58.7,78.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Pennsylvania,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2015,Medicaid only,Administrative,34,33,25,22.7,35.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2015,Medicaid only,Administrative,18.4,32,24.1,21.3,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Alabama,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,CHIP only,Administrative,92.4,44,90,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New York,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year Old Children at Elevated Caries Risk,SEAL-CH,Percentage Who Received a Sealant on a First Permanent Molar,2015,Medicaid only,Administrative,23.4,25,23.4,18.1,25.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Michigan,Primary Care Access and Preventive Care,Child Core Set,Body Mass Index Assessment for Children and Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2015,Medicaid only,Hybrid,78.3,33,53,21,68.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Rhode Island,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2015,Medicaid & CHIP,Hybrid,27.8,36,20.8,14.5,23.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2015,CHIP only,Administrative,29.1,33,45.7,32.7,67,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Kentucky,Primary Care Access and Preventive Care,Child Core Set,Body Mass Index Assessment for Children and Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2015,Medicaid & CHIP,Hybrid,58.8,33,53,21,68.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Texas,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2015,CHIP only,Administrative,13.4,32,24.1,21.3,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Colorado,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2015,Medicaid & CHIP,Administrative,43.6,33,25,22.7,35.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Massachusetts,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2015,Medicaid & CHIP,Hybrid,86.9,45,60.1,49.2,67,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Idaho,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2015,Medicaid & CHIP,Administrative,41.4,41,47.6,43,53.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Iowa,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3),2015,Medicaid only,Administrative,26.3,39,67.1,63.4,73.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Arkansas,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2015,Medicaid & CHIP,Administrative,70.8,34,71.8,58.7,78.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Rhode Island,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2015,Medicaid & CHIP,Administrative,61.9,33,45.7,32.7,67,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
South Carolina,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,Medicaid & CHIP,Administrative,85.8,44,90,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Louisiana,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2015,Medicaid & CHIP,Administrative,53.5,41,47.6,43,53.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Mississippi,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2015,Medicaid only,Administrative & Hybrid,42.1,47,66.9,57.3,75.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Nebraska,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,Medicaid & CHIP,Administrative,90,44,90,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Massachusetts,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2015,Medicaid & CHIP,Administrative,,16,27.9,22.6,36.2,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Michigan,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2015,Medicaid only,Hybrid,75.8,47,66.9,57.3,75.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Mississippi,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2015,Medicaid only,Administrative,16.5,33,25,22.7,35.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Arkansas,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3),2015,Medicaid & CHIP,Hybrid,64.4,39,67.1,63.4,73.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Georgia,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2015,Medicaid & CHIP,Administrative,85.1,45,88,84.9,89.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
South Carolina,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2015,Medicaid & CHIP,Administrative,20.3,33,24.3,22.1,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Rhode Island,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Hybrid,68.6,46,45.5,37.8,56,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Nevada,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2015,CHIP only,Administrative,88.7,45,88,84.9,89.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Oregon,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,Medicaid & CHIP,Administrative,57.7,37,48,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Colorado,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,Medicaid & CHIP,Administrative,84,44,90,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New York,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2015,Medicaid only,Hybrid,87.9,37,82,75.5,85.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Ohio,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2015,Medicaid & CHIP,Administrative,93.3,45,95.2,93.2,97,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
California,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year Old Children at Elevated Caries Risk,SEAL-CH,Percentage Who Received a Sealant on a First Permanent Molar,2015,Medicaid & CHIP,Administrative,23.9,25,23.4,18.1,25.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Mississippi,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid only,Hybrid,30.8,46,45.5,37.8,56,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Kentucky,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2015,Medicaid & CHIP,Administrative,41.1,33,25,22.7,35.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Tennessee,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2015,Medicaid only,Administrative,88.1,45,88,84.9,89.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
North Carolina,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,Medicaid & CHIP,Administrative,44.5,37,48,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Colorado,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2015,Medicaid only,Administrative,49,51,47.4,40.1,50,,"Mathematica analysis of FFY 2015 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b."
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,CHIP only,Administrative,38.3,37,48,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
South Carolina,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Administrative,30.4,46,45.5,37.8,56,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Alabama,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2015,Medicaid only,Administrative,84.9,45,88,84.9,89.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Arizona,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,Medicaid only,Administrative,89.4,44,90,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
