State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Description,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,25th Percentile,75th Percentile,Notes,Source,Location
North Dakota,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2014,CHIP only,Administrative,9.5,34,44.1,35.3,53.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(47.5362, -99.793)"
Iowa,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2014,CHIP only,NR,,34,81.4,69.7,86.4,NR = State did not report the measure for this population.,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.0046, -93.214)"
Indiana,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2014,Medicaid & CHIP,Administrative,88.1,43,88.6,84.3,91.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.8647, -86.2604)"
Iowa,Primary Care and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2014,CHIP only,NR,,40,62.1,56.2,68.7,NR = State did not report the measure for this population.,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.0046, -93.214)"
North Dakota,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2014,CHIP only,Administrative,,41,96.4,94.3,97.3,# = Rate not reported because denominator is less than 30.,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(47.5362, -99.793)"
North Carolina,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2014,Medicaid & CHIP,Administrative,,42,90.6,85.7,92.1,NR = State did not report the measure for this population.,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.6411, -79.8431)"
Connecticut,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2014,Medicaid & CHIP,Administrative,39.6,26,30.3,23.4,39,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(41.5834, -72.7622)"
Mississippi,Primary Care and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2014,Medicaid only,Administrative,49,37,48.3,43.5,56.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.7673, -89.6812)"
Washington,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,35.1,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(47.3917, -121.5708)"
Maine,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care – Emergency Department (ED) Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2014,Medicaid & CHIP,Administrative,436.7,37,45.7,40.1,52.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.6074, -69.3977)"
Montana,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,23.5,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(46.9048, -110.3261)"
Mississippi,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2014,CHIP only,NR,,29,9,7.8,10.1,NR = State did not report the measure for this population.,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.7673, -89.6812)"
Illinois,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2014,Medicaid & CHIP,Administrative,38.3,31,56.5,45.3,63.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.3363, -89.0022)"
New York,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2014,Medicaid & CHIP,Administrative,96.9,41,96.4,94.3,97.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.1497, -74.9384)"
Maine,Primary Care and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2014,Medicaid & CHIP,Administrative,64.9,46,67.4,60.6,75.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.6074, -69.3977)"
Colorado,Primary Care and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2014,Medicaid & CHIP,Hybrid,61,46,67.4,60.6,75.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.0646, -105.3272)"
West Virginia,Primary Care and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents – Body Mass Index Assessment for Children/Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2014,CHIP only,Administrative,0.2,33,42.6,12.3,63.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.468, -80.9696)"
Missouri,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2014,Medicaid & CHIP,Hybrid,80.2,34,81.4,69.7,86.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.4623, -92.302)"
Massachusetts,Primary Care and Preventive Care,Child Core Set,Childhood Immunization Status,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3),2014,Medicaid & CHIP,Hybrid,80.8,35,66.9,56.7,75.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.2373, -71.5314)"
Oklahoma,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2014,Medicaid & CHIP,Administrative,90.9,42,91.2,86.1,94,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.5376, -96.9247)"
New York,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2014,Medicaid & CHIP,Administrative,28.6,25,31.2,24.5,38.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.1497, -74.9384)"
Missouri,Primary Care and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2014,Medicaid & CHIP,Hybrid,64.5,46,67.4,60.6,75.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.4623, -92.302)"
South Carolina,Behavioral Health,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2014,Medicaid & CHIP,Administrative,69.9,34,65.2,51.9,78.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(33.8191, -80.9066)"
Tennessee,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2014,CHIP only,Administrative,56.8,31,56.5,45.3,63.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Oregon,Primary Care and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents – Body Mass Index Assessment for Children/Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2014,Medicaid & CHIP,Administrative,3.9,33,42.6,12.3,63.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.5672, -122.1269)"
Louisiana,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,47.8,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(31.1801, -91.8749)"
Colorado,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2014,Medicaid & CHIP,Administrative,85.7,42,90.6,85.7,92.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.0646, -105.3272)"
Indiana,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2014,Medicaid & CHIP,Hybrid,90.9,34,81.4,69.7,86.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.8647, -86.2604)"
Illinois,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,51.5,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(40.3363, -89.0022)"
Wyoming,Primary Care and Preventive Care,Child Core Set,Human Papillomavirus (HPV) Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2014,CHIP only,Administrative,3,32,17.6,12.9,22.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.7475, -107.2085)"
Illinois,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2014,Medicaid & CHIP,Administrative,85.7,42,90.6,85.7,92.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.3363, -89.0022)"
Hawaii,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2014,Medicaid & CHIP,Administrative,89.1,42,91.2,86.1,94,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(21.1098, -157.5311)"
Ohio,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care,FPC-CH,Percentage with More Than 80 Percent of Expected Prenatal Visits,2014,Medicaid & CHIP,Administrative & Hybrid,67.5,27,65.8,43.1,72.8,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.3736, -82.7755)"
Delaware,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2014,Medicaid & CHIP,Administrative,8.7,29,9,7.8,10.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.3498, -75.5148)"
Arkansas,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2014,Medicaid & CHIP,Administrative,9.6,29,9,7.8,10.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.9513, -92.3809)"
Mississippi,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2014,Medicaid only,Administrative,23.6,26,30.3,23.4,39,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.7673, -89.6812)"
Alabama,Primary Care and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2014,CHIP only,Administrative,72,40,62.1,56.2,68.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.799, -86.8073)"
Alabama,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2014,CHIP only,Administrative,42.1,31,56.5,45.3,63.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.799, -86.8073)"
Iowa,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2014,Medicaid only,Administrative,16.1,16,33.2,25.2,41.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.0046, -93.214)"
Tennessee,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2014,Medicaid only,Administrative,97.3,41,96.4,94.3,97.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Kentucky,Primary Care and Preventive Care,Child Core Set,Human Papillomavirus (HPV) Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2014,Medicaid & CHIP,Administrative,19,32,17.6,12.9,22.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.669, -84.6514)"
Tennessee,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care,FPC-CH,Percentage with More Than 80 Percent of Expected Prenatal Visits,2014,Medicaid only,Hybrid,63.1,27,65.8,43.1,72.8,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Kentucky,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2014,Medicaid & CHIP,Administrative,86,34,81.4,69.7,86.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.669, -84.6514)"
Maine,Behavioral Health,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2014,Medicaid & CHIP,Administrative,69.6,34,43.9,32,62.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.6074, -69.3977)"
Tennessee,Primary Care and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents – Body Mass Index Assessment for Children/Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2014,Medicaid only,Hybrid,56.8,33,42.6,12.3,63.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Minnesota,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,38,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(45.7326, -93.9196)"
Pennsylvania,Primary Care and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2014,Medicaid & CHIP,Hybrid,59.4,44,43.5,38,56.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.5773, -77.264)"
Delaware,Behavioral Health,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2014,Medicaid & CHIP,Administrative,57.8,34,65.2,51.9,78.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.3498, -75.5148)"
Mississippi,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care,FPC-CH,Percentage with More Than 80 Percent of Expected Prenatal Visits,2014,CHIP only,NR,,27,65.8,43.1,72.8,NR = State did not report the measure for this population.,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.7673, -89.6812)"
