State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,State Specific Comments,Source,Location
Indiana,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care,FPC-CH,Percentage of Women Delivering a Live Birth who had More Than 80 Percent of Expected Prenatal Visits,2017,Medicaid & CHIP,Hybrid,81.1,34,61.7,43.5,67,,"Rate includes managed care population (3 MCOs), representing 69 percent of Medicaid or CHIP-covered deliveries during the measurement period. Rate excludes enrollees in other managed care programs and the FFS population, representing 31 percent of deliveries. Denominator is the sample size; measure-eligible population is 22,083. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Indiana
(39.919991, -86.2818)"
North Carolina,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2017,CHIP only,Administrative,8.2,30,22.9,18,24.9,,CHIP rate includes FFS and PCCM populations.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
Kansas,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2017,Medicaid & CHIP,Administrative,64.4,44,47.8,39.7,64,,Rates include managed care population (3 MCOs) age 6 and older. Rates were validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Kansas
(38.484729, -98.38018)"
Mississippi,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Meningococcal Conjugate and Tdap Vaccines (Combination 1) by their 13th Birthday,2017,CHIP only,Hybrid,51.1,43,73.2,56.9,83,,"CHIP rates include managed care population (2 MCOs). Denominator is the sample size; measure-eligible population is 2,091.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Mississippi
(32.713378, -89.65344)"
Louisiana,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2017,Medicaid & CHIP,Administrative,59.6,46,49.4,44.1,58.5,,Rate includes FFS and managed care populations (5 MCOs). Rate was calculated using HEDIS-certified code and the state conducted an internal validation of the data.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Louisiana
(30.921314, -91.840238)"
Minnesota,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Three Doses of Human Papillomavirus (HPV) Vaccine by Their 13th Birthday,2017,Medicaid & CHIP,Administrative,34.6,42,20.8,13.3,24.8,,Rates include FFS and managed care populations (8 MCOs). Rates include paid claims only. Rates were audited by a certified HEDIS auditor.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Minnesota
(46.349153, -94.198308)"
Florida,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 12-24 Months,2017,Medicaid & CHIP,Administrative,94.3,48,95.2,93.3,96.6,,"Rates include FFS, PCCM, and managed care populations (21 MCOs). MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Florida
(28.260731, -82.420978)"
Missouri,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2017,Medicaid & CHIP,Administrative & Hybrid,61.9,50,66.7,58.2,76.1,,"Rate includes managed care population (3 MCOs), representing 63 percent of the Medicaid population and 40 percent of the CHIP population. Rate excludes FFS population, representing 37 percent of the Medicaid population and 60 percent of the CHIP population. Rate was derived using both administrative and hybrid method data. One MCO used the administrative method and two MCOs used the hybrid method. Denominator is the measure-eligible population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Missouri
(38.3675, -92.477244)"
Delaware,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits During the 10-Month Continuation and Maintenance Phase: Ages 6-12,2017,Medicaid & CHIP,Administrative,55.4,37,61.5,55,65.4,,"Rates include managed care population (2 MCOs), representing 94 percent of the population. Rates exclude FFS population, representing 6 percent of the population. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Delaware
(38.994926, -75.452394)"
North Carolina,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2017,CHIP only,Administrative,39.9,46,49.4,44.1,58.5,,CHIP rate includes FFS and PCCM populations ages 16 to 18.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
New York,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage of Children who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2017,Medicaid & CHIP,Administrative,65.0,49,59.3,55.7,66.1,,"Rate includes managed care population (19 MCOs), representing 89 percent of the Medicaid population and all CHIP children. Rate excludes FFS population, representing 11 percent of the Medicaid population. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New York
(42.921241, -75.59655)"
Ohio,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2017,Medicaid & CHIP,Administrative,51.5,46,49.4,44.1,58.5,,Rate includes FFS and managed care populations (5 MCOs).,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Ohio
(40.415534, -82.70936)"
Indiana,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2017,Medicaid & CHIP,Administrative,87.2,48,87.4,84.9,90.3,,"Rates include managed care population (3 MCOs), representing 87 percent of Medicaid children and 97 percent of CHIP children. Rates exclude FFS population, representing 10 percent of Medicaid children and 3 percent of CHIP children, and enrollees in a program for beneficiaries with disabilities who do not require a level of care in a nursing home or through a Section 1915(c) home- and community-based services waiver, representing 3 percent of Medicaid children. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Indiana
(39.919991, -86.2818)"
Indiana,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 12-24 Months,2017,Medicaid & CHIP,Administrative,95.6,48,95.2,93.3,96.6,,"Rates include managed care population (3 MCOs), representing 87 percent of Medicaid children and 97 percent of CHIP children. Rates exclude FFS population, representing 10 percent of Medicaid children and 3 percent of CHIP children, and enrollees in a program for beneficiaries with disabilities who do not require a level of care in a nursing home or through a Section 1915(c) home- and community-based services waiver, representing 3 percent of Medicaid children. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Indiana
(39.919991, -86.2818)"
Alabama,Primary Care Access and Preventive Care,Child Core Set,Developmental Screening in the First Three Years of Life: Ages 0-3,DEV-CH,"Percentage Screened for Risk of Developmental, Behavioral, and Social Delays Using a Standardized Screening Tool: Ages 0-3",2017,Medicaid only,NR,NR,27,39.8,17.8,53.9,NR = State did not report the measure for this population,None,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Alabama
(32.756889, -86.844516)"
Alabama,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2017,Medicaid only,Administrative,21.4,30,22.9,18,24.9,,Medicaid rate includes FFS and PCCM populations.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Alabama
(32.756889, -86.844516)"
Maryland,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2017,Medicaid & CHIP,Hybrid,64.0,49,44.7,37.9,55.7,,"Rate includes managed care population (8 MCOs), representing 95 percent of the population. Rate excludes FFS population, representing 5 percent of the population. Denominator is the sample size; measure-eligible population is 174,312. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Maryland
(38.946466, -76.687282)"
Massachusetts,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1-17,APC-CH,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1-17,2017,Medicaid & CHIP,Administrative,2.1,37,2.7,3.6,1.6,,"Rate includes PCCM and managed care populations (5 MCOs), representing 76 percent of the population. Rate excludes FFS population, representing 24 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Massachusetts
(42.151077, -71.481104)"
California,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2017,Medicaid & CHIP,Administrative,85.4,48,90.8,87.6,93.6,,Rates include FFS and managed care populations (26 MCOs). Rates were audited using decision support software.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","California
(37.211164, -119.662127)"
Louisiana,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-11,2017,Medicaid & CHIP,Administrative,20.3,40,27.9,24.5,33,,Rates include FFS and managed care populations (5 MCOs). Rates were calculated using HEDIS-certified code and the state conducted an internal validation of the data.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Louisiana
(30.921314, -91.840238)"
New Jersey,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-20,2017,Medicaid & CHIP,Administrative,26.6,39,27.3,24.3,33,,"Rates include managed care population (5 MCOs), representing more than 90 percent of the population. Rates exclude FFS population, representing less than 10 percent of the population. Total rate includes children ages 5 to 18.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Jersey
(40.110253, -74.655514)"
Nevada,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 6-20,2017,Medicaid only,Administrative,84.6,45,69.2,62.5,79.6,,"Medicaid rates include managed care population (2 MCOs) age 6 and older, representing 77 percent of the population. Rates exclude FFS population, representing 23 percent of the population. State attributes performance increase from FFY 2016 to provider-level quality initiatives from MCOs and increased education and access to related resources and services.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Nevada
(39.283294, -114.916992)"
Kentucky,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-11,2017,Medicaid & CHIP,Administrative,37.0,40,27.9,24.5,33,,"Rates include managed care population (5 MCOs), representing 95 percent of the population. Rates exclude FFS population, representing 5 percent of the population. Total rate includes children ages 5 to 18. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Kentucky
(37.526683, -85.290484)"
